genes	rice-defline
AC148152.3_FG001	expressed protein
AC148152.3_FG005	1-aminocyclopropane-1-carboxylate oxidase homolog 4, putative, expressed
AC148152.3_FG006	chalcone synthase, putative, expressed
AC148152.3_FG008	Os11bglu36 SFR2 homologue, expressed
AC148167.6_FG001	targeting protein for Xklp2, putative, expressed
AC149475.2_FG002	nicotiana lesion-inducing like, putative, expressed
AC149475.2_FG003	peptidase, T1 family, putative, expressed
AC149475.2_FG004	tRNA synthetase class I, putative, expressed
AC149475.2_FG005	ZOS3-03 - C2H2 zinc finger protein, expressed
AC149475.2_FG007	acetyltransferase, GNAT family, putative, expressed
AC149810.2_FG003	ubiquitin carboxyl-terminal hydrolase domain containing protein, expressed
AC149810.2_FG004	expressed protein
AC149810.2_FG008	protein kinase family protein, putative, expressed
AC149818.2_FG001	ras-related protein, putative, expressed
AC149818.2_FG004	cyclin-dependent kinases regulatory subunit 1, putative, expressed
AC149818.2_FG005	expressed protein
AC149818.2_FG006	ubiquitin-conjugating enzyme, putative, expressed
AC149818.2_FG007	expressed protein
AC149818.2_FG008	ZOS3-01 - C2H2 zinc finger protein, expressed
AC149818.2_FG009	DUF260 domain containing protein, putative, expressed
AC149828.2_FG002	peptidase, T1 family, putative, expressed
AC149828.2_FG004	expressed protein
AC149828.2_FG005	
AC149829.2_FG002	expressed protein
AC149829.2_FG003	OsNucAP1 - Putative Nucleoporin Autopeptidase homologue, expressed
AC149829.2_FG004	bHLH family protein, putative, expressed
AC149829.2_FG006	OsFBK12 - F-box domain and kelch repeat containing protein, expressed
AC150739.3_FG001	DNA binding protein, putative, expressed
AC152495.1_FG002	rp1, putative, expressed
AC152495.1_FG003	rp1, putative, expressed
AC152495.1_FG005	phosphatidylinositol transfer, putative, expressed
AC152495.1_FG006	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A, putative, expressed
AC152495.1_FG010	rp1, putative, expressed
AC152495.1_FG011	expressed protein
AC152495.1_FG012	calcium-transporting ATPase, endoplasmic reticulum-type, putative, expressed
AC152495.1_FG013	zinc knuckle family protein, expressed
AC152495.1_FG015	disease resistance RPP13-like protein 1, putative, expressed
AC152495.1_FG017	rp1, putative, expressed
AC155352.2_FG001	GA17271-PA, putative, expressed
AC155352.2_FG009	harpin-induced protein 1 domain containing protein, expressed
AC155352.2_FG010	LTPL116 - Protease inhibitor/seed storage/LTP family protein precursor, expressed
AC155376.2_FG002	
AC155376.2_FG004	formin-like protein 1 precursor, putative, expressed
AC155376.2_FG005	Os1bglu4 - beta-glucosidase-like protein without signal sequence, expressed
AC155377.1_FG001	myosin, putative, expressed
AC155377.1_FG002	aspartic proteinase-like protein 2 precursor, putative, expressed
AC155390.2_FG002	pentatricopeptide, putative, expressed
AC155434.2_FG001	hydrolase, alpha/beta fold family domain containing protein, expressed
AC155434.2_FG003	retrotransposon protein, putative, SINE subclass, expressed
AC155434.2_FG004	EMB1011, putative, expressed
AC155434.2_FG005	Myb transcription factor, putative, expressed
AC155434.2_FG006	expressed protein
AC155434.2_FG008	
AC155496.2_FG009	cullin, putative, expressed
AC155610.2_FG007	transferase family protein, putative, expressed
AC155610.2_FG009	LSM domain containing protein, expressed
AC155622.2_FG001	coatomer alpha subunit, putative, expressed
